Price,Close,High,Low,Open,Volume
Ticker,RHM.DE,RHM.DE,RHM.DE,RHM.DE,RHM.DE
Date,,,,,
2025-03-04,1116.349853515625,1194.9520268023757,1079.5361774192986,1193.957062583556,999479
2025-03-05,1196.4444580078125,1196.4444580078125,1130.2793382926195,1165.1030855111421,737840
2025-03-06,1192.962158203125,1212.3639614432925,1167.0930872162348,1208.3841043683865,544136
2025-03-07,1109.3851318359375,1193.459610436957,1109.3851318359375,1191.469681949359,665722
2025-03-10,1113.364990234375,1148.686220934393,1065.60670647097,1129.28441815551,660313
2025-03-11,1148.188720703125,1176.5452012404205,1107.3951872985945,1110.8775621014204,474920
2025-03-12,1258.6297607421875,1273.05674218943,1132.7667846679688,1179.0326217229187,1179803
2025-03-13,1281.513916015625,1330.7646449308218,1246.1926861875547,1313.3527710719138,817755
2025-03-14,1362.1060791015625,1379.0204716104934,1285.4938306787571,1303.4031874529196,890924
2025-03-17,1362.1060791015625,1362.1060791015625,1362.1060791015625,1362.1060791015625,0
2025-03-18,1438.2208251953125,1438.2208251953125,1341.211810697531,1361.111095722717,693488
2025-03-19,1373.0506591796875,1475.531976495273,1324.794893259242,1454.1402452109517,844416
2025-03-20,1329.272216796875,1383.995249673992,1199.9268663600533,1360.1161080548864,856051
2025-03-21,1298.4283447265625,1325.7898615694594,1238.7304897966055,1312.3578442102191,548602
2025-03-24,1298.4283447265625,1298.4283447265625,1298.4283447265625,1298.4283447265625,0
2025-03-25,1312.8553466796875,1312.8553466796875,1281.5139723557693,1310.367936019059,235374
2025-03-26,1346.68408203125,1362.6035096725504,1310.8653698383243,1324.2973869106713,362451
2025-03-27,1343.2017822265625,1354.6438714825665,1320.3176037145543,1328.2773179796006,183442
2025-03-28,1303.4031982421875,1341.7093227706794,1270.0718950810324,1336.237019266609,341116
2025-03-31,1312.3577880859375,1320.3175017361934,1254.6498641215824,1268.5793630095302,275923
2025-04-01,1347.181640625,1357.6287656076902,1306.8855871203377,1318.3276763870938,241535
2025-04-02,1290.4686279296875,1361.111089443186,1287.981217313015,1348.1765542364892,310704
2025-04-03,1346.1866455078125,1351.658948944836,1256.6398619928805,1264.5995760830967,450036
2025-04-04,1269.5743408203125,1395.9347963721775,1249.1775743729643,1345.6891034165146,707845
2025-04-07,1237.7354736328125,1293.4534692304312,928.3016052246094,984.815560042349,1665353
2025-04-08,1308.87548828125,1322.8049879664932,1261.1172036461303,1275.5441854629894,512625
2025-04-09,1299.9207763671875,1317.8301326431992,1232.2632082133653,1286.4887591601787,480109
2025-04-10,1372.55322265625,1409.864383112654,1301.413276719373,1392.9499903724175,461647
2025-04-11,1353.6488037109375,1392.452407786444,1335.7394479837808,1372.0556415416265,250929
2025-04-14,1432.74853515625,1432.74853515625,1365.0909654405382,1383.0003221299912,324924
2025-04-15,1432.74853515625,1432.74853515625,1432.74853515625,1432.74853515625,0
2025-04-16,1477.0244140625,1492.4463597802292,1444.6880762672617,1491.4513955403756,276398
